Table_name,Table_description,Table_columns(Data type),Primary_key,Table_category,Description_verified
bin_recall_wave_wms_data_dsb_upload_validation,"Schema-based summary for 'bin recall wave wms data dsb upload validation'. Key fields: BIN_ID, UPLOADED_WAVE_ID, ID, INSERTED_TIMESTAMP, VALIDATION_MESSAGE.","BIN_ID(int), UPLOADED_WAVE_ID(int), ID(int), INSERTED_TIMESTAMP(datetime(3)), VALIDATION_MESSAGE(text)",,transaction_table,YES
bin_segment_ranking,"Schema-based summary for 'bin segment ranking'. Key fields: ID, BIN_SEGMENT_COUNT, SEGMENT_ID, RANKING.","ID(int), BIN_SEGMENT_COUNT(int), SEGMENT_ID(int), RANKING(int)",ID,general_table,YES
bot_alarm_log,"Records the various alarms being occurred on bots with ids, alarm code, type and recorded timestamp. Key fields: ID, BOT_ID, ALARM_CODE, ALARM_DESCRIPTION, TASK_TYPE, ALARMPOSITION_X.","ID(bigint), BOT_ID(varchar(200)), ALARM_CODE(int), ALARM_DESCRIPTION(text), TASK_TYPE(varchar(200)), ALARMPOSITION_X(int), ALARMPOSITION_Y(int), ALARMPOSITION_Z(int), IS_BYPASSED(tinyint(1)), RECOVERY_TIMESTAMP(datetime), INSERTED_TIMESTAMP(datetime)",ID,log_table,YES
bot_alarm_log_archive,"Archive/history table for bot_alarm_log. Key fields: ID, BOT_ID, ALARM_CODE, ALARM_DESCRIPTION, TASK_TYPE, ALARMPOSITION_X.","ID(bigint), BOT_ID(varchar(200)), ALARM_CODE(int), ALARM_DESCRIPTION(text), TASK_TYPE(varchar(200)), ALARMPOSITION_X(int), ALARMPOSITION_Y(int), ALARMPOSITION_Z(int), IS_BYPASSED(tinyint(1)), RECOVERY_TIMESTAMP(datetime), INSERTED_TIMESTAMP(datetime)",ID,log_table,YES
bot_charging_bit_log,"Records timestamps and other details when bots charging bit was set high. Key fields: ID, BOT_ID, BATTERY_PERCENTAGE, COUNTER, INSERTED_TIMESTAMP.","ID(bigint unsigned), BOT_ID(varchar(50)), BATTERY_PERCENTAGE(int), COUNTER(int), INSERTED_TIMESTAMP(datetime(3))",ID,log_table,YES
bot_charging_bit_log_archive,"Archive/history table for bot_charging_bit_log. Key fields: ID, BOT_ID, BATTERY_PERCENTAGE, COUNTER, INSERTED_TIMESTAMP.","ID(bigint unsigned), BOT_ID(varchar(50)), BATTERY_PERCENTAGE(int), COUNTER(int), INSERTED_TIMESTAMP(datetime(3))",ID,log_table,YES
bot_manual_alarm_log,"Log/audit table recording events or state changes. Key fields: ID, BOT_ID, ALARM_CODE, ALARM_DESCRIPTION, ALARM_ID, IS_BYPASSED.","ID(bigint), BOT_ID(varchar(200)), ALARM_CODE(int), ALARM_DESCRIPTION(text), ALARM_ID(int), IS_BYPASSED(tinyint(1)), RECOVERY_TIMESTAMP(datetime), INSERTED_TIMESTAMP(datetime)",ID,log_table,YES
bot_manual_alarm_log_archive,"Archive/history table for bot_manual_alarm_log. Key fields: ID, BOT_ID, ALARM_CODE, ALARM_DESCRIPTION, ALARM_ID, IS_BYPASSED.","ID(bigint), BOT_ID(varchar(200)), ALARM_CODE(int), ALARM_DESCRIPTION(text), ALARM_ID(int), IS_BYPASSED(tinyint(1)), RECOVERY_TIMESTAMP(datetime), INSERTED_TIMESTAMP(datetime)",ID,log_table,YES
bot_master,"Robot master and live state (position, battery, alarms, auto/manual). Used by allocation, monitoring, and safety logic. Key fields: BOT_MASTER_ID, BOT_ID, STATUS, COUNTER, AUTO_MANUAL, ACTIVITY_REQUEST.","BOT_MASTER_ID(int), BOT_ID(varchar(50)), STATUS(enum('ENABLED','DISABLED')), COUNTER(int), AUTO_MANUAL(enum('auto','manual')), ACTIVITY_REQUEST(tinyint), BATTERY(double), BATTERY_HEALTH(enum('GOOD','AVERAGE','CRITICAL')), IP(varchar(200)), PORT(int), SIM_PORT(int), GRIDX(int), GRIDY(int), GRIDZ(double), ACTIVE_AXIS(int), LOAD_CONDITION(enum('UL','LD')), UPDATED_TIMESTAMP(timestamp), ALARM(int), ALARM_TYPE(enum('NORMAL','MAINTENANCE','PSEUDO')), RECOVERY_BIN_LOAD_STATUS(tinyint), STATION_SAFETY_VALUE(tinyint), BATTERY_VOLTS(int), AH_REMAINING_PERCENTAGE(int), AH_REMAINING_NORMAL(int), RECOVERY_BIT(int), NON_RECOVERY_BIT(int), LOAD_NON_RECOVERY_BIT(tinyint), BOT_TO_MAINTENANCE_BIT(int), CHARGING_BIT(int), BIN_ALREDY_PRSENT_RECOVERY_(int), SLIDER_RECOVERY_FAIL_ALARM_BIT(tinyint), SLIDER_RECOVERY_FAIL_TRUE(tinyint), SLIDER_RECOVERY_FAIL_FALSE(tinyint), DSB_TMM_Z_AXIS_ACKNOWLEDGEMENT(tinyint), BARCODE_TAG_NUMBER(int), SLIDER_POSITION(double), LIDAR_ZONE_NUMBER(int), ALARM_TIMESTAMP(datetime(3)), ALARM_POSITION_X_Y_Z(varchar(20))",BOT_MASTER_ID,bot_master,YES
bot_master_log,"Log/audit table recording events or state changes. Key fields: BOT_MASTER_LOG_ID, BOT_MASTER_ID, BOT_ID, STATUS, COUNTER, AUTO_MANUAL.","BOT_MASTER_LOG_ID(bigint), BOT_MASTER_ID(int), BOT_ID(varchar(50)), STATUS(enum('ENABLED','DISABLED')), COUNTER(int), AUTO_MANUAL(enum('auto','manual')), ACTIVITY_REQUEST(tinyint), BATTERY(double), BATTERY_HEALTH(enum('GOOD','AVERAGE','CRITICAL')), IP(varchar(200)), PORT(int), SIM_PORT(int), GRIDX(int), GRIDY(int), GRIDZ(double), ACTIVE_AXIS(int), LOAD_CONDITION(varchar(50)), UPDATED_TIMESTAMP(timestamp), ALARM(int), RECOVERY_BIN_LOAD_STATUS(tinyint), STATION_SAFETY_VALUE(tinyint), AH_REMAINING_PERCENTAGE(int), AH_REMAINING_NORMAL(int), RECOVERY_BIT(int), NON_RECOVERY_BIT(int), LOG_TIMESTAMP(datetime(3))",BOT_MASTER_LOG_ID,log_table,YES
bot_obstacle_log,"Records timestamps and other details when bots were in obstacle during operations. Key fields: OBSTACLE_LOG_ID, BOT_ID, OBSTACLE_DETECTION_TIMESTAMP, X, Y, Z.","OBSTACLE_LOG_ID(int), BOT_ID(varchar(50)), OBSTACLE_DETECTION_TIMESTAMP(datetime(3)), X(int), Y(int), Z(int), BARCODE_NUMBER(int)",OBSTACLE_LOG_ID,log_table,YES
bot_obstacle_log_archive,"Archive/history table for bot_obstacle_log. Key fields: LOG_ID, OBSTACLE_LOG_ID, BOT_ID, OBSTACLE_DETECTION_TIMESTAMP, OBSTACLE_REMOVAL_TIMESTAMP, X.","LOG_ID(int), OBSTACLE_LOG_ID(int), BOT_ID(varchar(50)), OBSTACLE_DETECTION_TIMESTAMP(datetime(3)), OBSTACLE_REMOVAL_TIMESTAMP(datetime(3)), X(int), Y(int), Z(int), BARCODE_NUMBER(int)",LOG_ID,log_table,YES
bot_obstacle_log_debug,"Robot/bot related operational table. Key fields: DEBUG_ID, INPUT_BOT_ID, INPUT_BARCODE, FETCHED_X, FETCHED_Y, FETCHED_Z.","DEBUG_ID(int), INPUT_BOT_ID(varchar(50)), INPUT_BARCODE(int), FETCHED_X(int), FETCHED_Y(int), FETCHED_Z(int), RETURNED_LOG_ID(int), MESSAGE(varchar(255)), LOG_TIMESTAMP(datetime(3))",DEBUG_ID,log_table,YES
category_master,"Master/configuration table (relatively static reference data). Key fields: CATEGORY_ID, CATEGORY_NAME, CLIENT_ORDER_TYPE, CATEGORY_ALIAS_NAME, IS_ACTIVE, INSERTED_TIMESTAMP.","CATEGORY_ID(int), CATEGORY_NAME(varchar(200)), CLIENT_ORDER_TYPE(varchar(100)), CATEGORY_ALIAS_NAME(varchar(200)), IS_ACTIVE(tinyint(1)), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(100)), UPDATED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(100))",CATEGORY_ID,config_master,YES
category_matrix,"Schema-based summary for 'category matrix'. Key fields: MATRIX_ID, PARENT_CATEGORY_ID, CHILD_CATEGORY_ID, IS_ACTIVE, INSERTED_TIMESTAMP, INSERTED_BY.","MATRIX_ID(int), PARENT_CATEGORY_ID(int), CHILD_CATEGORY_ID(int), IS_ACTIVE(tinyint), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(100)), UPDATED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(100))",MATRIX_ID,general_table,YES
cdctest,"Schema-based summary for 'cdctest'. Key fields: id, data, active, adddatetime.","id(int), data(varchar(20)), active(int), adddatetime(datetime)",id,general_table,YES
chatbot_chat_history,"Robot/bot related operational table. Key fields: id, chat_id, session_id, chatbot_type, user_query, assistant_response.","id(bigint), chat_id(varchar(100)), session_id(varchar(100)), chatbot_type(varchar(50)), user_query(text), assistant_response(text), timestamp(datetime), confidence_score(decimal(5,4)), response_time_ms(int)",id,log_table,YES
chatbot_column_corrections,"Robot/bot related operational table. Key fields: id, chat_id, session_id, table_name, wrong_column, correct_column.","id(bigint), chat_id(varchar(100)), session_id(varchar(100)), table_name(varchar(255)), wrong_column(varchar(255)), correct_column(varchar(255)), correction_type(enum('automatic','manual','feedback')), similarity_score(decimal(5,4)), timestamp(datetime)",id,general_table,YES
chatbot_feedback,"Robot/bot related operational table. Key fields: id, chat_id, session_id, feedback_type, rating, comment.","id(bigint), chat_id(varchar(100)), session_id(varchar(100)), feedback_type(enum('positive','negative','neutral')), rating(int), comment(text), feedback_category(varchar(100)), timestamp(datetime)",id,telemetry_table,YES
chatbot_query_patterns,"Robot/bot related operational table. Key fields: id, pattern_type, pattern_key, pattern_value, frequency, success_rate.","id(bigint), pattern_type(varchar(50)), pattern_key(varchar(255)), pattern_value(text), frequency(int), success_rate(decimal(5,4)), avg_confidence(decimal(5,4)), last_used(datetime), created_at(datetime), updated_at(datetime)",id,general_table,YES
chatbot_sql_queries,"Robot/bot related operational table. Key fields: id, chat_id, session_id, user_query, generated_sql, execution_status.","id(bigint), chat_id(varchar(100)), session_id(varchar(100)), user_query(text), generated_sql(text), execution_status(enum('success','failed','not_executed')), error_message(text), rows_returned(int), execution_time_ms(int), tables_used(json), columns_used(json), intent(varchar(50)), entities(json), timestamp(datetime)",id,general_table,YES
config_master,"Master/configuration table (relatively static reference data). Key fields: SIM_MODE, X_PITCH, Y_PITCH, Z_PITCH, X_MAX, Y_MAX.","SIM_MODE(tinyint), X_PITCH(decimal(10,2)), Y_PITCH(decimal(10,2)), Z_PITCH(decimal(10,2)), X_MAX(decimal(10,2)), Y_MAX(decimal(10,2)), Z_MAX(decimal(10,2)), COMM_TIMEOUT(decimal(10,2)), TOWER_PARKING_Z(double), BATTERY_LOW_LIMIT(double), BATTERY_HIGH_LIMIT(double), AH_UPPER_LIMIT(double), AH_LOWER_LIMIT(double), VOLTAGE_THRESHOLD(double), AH_THRESHOLD(double), MAX_BUFFER_STEPS_SIZE(int), VOLUME_OF_BIN(int), DOWNTIME_LOG_INTERVAL(int), SHIFT_START_HOUR(time), AH_THRESHOLD_CHARGING(double), BIN_IN_LOOP(tinyint(1)), AUTOCALDISTANCEUPPERLIMIT(decimal(10,2)), AUTOCALDISTANCELOWERLIMIT(decimal(10,2)), BATTERY_BIT_ON_COUNTER(double), AUTOCALDISTANCEUPPERLIMITFORTOWER(decimal(10,2)), AUTOCALDISTANCELOWERLIMITFORTOWER(decimal(10,2)), OBSTACLE_ELIGIBILITY_DURATION(int)",SIM_MODE,config_master,YES
controller_reservations_master,"This table is used to assign bots repective controller which are then used for proper reservation of location/towers as required. Key fields: RESERVATION_ID, LOCATION_ID, TYPE, BOT_ID, DESTINATION_ID, COST.","RESERVATION_ID(int), LOCATION_ID(int), TYPE(varchar(100)), BOT_ID(varchar(50)), DESTINATION_ID(int), COST(int), INSERTED_TIMESTAMP(timestamp)",RESERVATION_ID,config_master,YES
dashboard_access_master,"Master/configuration table (relatively static reference data). Key fields: ACCESS_ID, VIEW, UPDATE, DELETE, INSERTED_BY, INSERTED_TIMESTAMP.","ACCESS_ID(int), VIEW(tinyint), UPDATE(tinyint), DELETE(tinyint), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(50)), UPDATED_TIMESTAMP(datetime(3))",ACCESS_ID,config_master,YES
dashboard_bot_master,"Master/configuration table (relatively static reference data). Key fields: ID, BOT_ID, LOCK_BY, LOCK_TIMESTAMP, UNLOCK_BY, UNLOCK_TIMESTAMP.","ID(bigint), BOT_ID(varchar(255)), LOCK_BY(varchar(45)), LOCK_TIMESTAMP(datetime(3)), UNLOCK_BY(varchar(45)), UNLOCK_TIMESTAMP(datetime(3)), REQUEST_BY(varchar(45)), AUTO_CALIBRATION_DONE_TIMESTAMP(datetime(3)), UPDATED_TIMESTAMP(datetime(3))",ID,bot_master,YES
dashboard_breadcrumb_master,"Master/configuration table (relatively static reference data). Key fields: BREADCRUMB_ID, MENU_ID, CHILD_MENU_ID, SEQUENCE, IS_ACTIVE, INSERTED_BY.","BREADCRUMB_ID(bigint), MENU_ID(int), CHILD_MENU_ID(int), SEQUENCE(int), IS_ACTIVE(tinyint(1)), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(50)), UPDATED_TIMESTAMP(datetime(3))",BREADCRUMB_ID,config_master,YES
dashboard_communication_string_master,"Master/configuration table (relatively static reference data). Key fields: ID, IS_ACTIVE, STRING_NAME, STRING_SAMPLE, STRING_MAPPING, STRING_SEPERATORS.","ID(int), STRING_NAME(varchar(100)), STRING_SAMPLE(text), STRING_MAPPING(text), STRING_SEPERATORS(json), STRING_DESCRIPTION(text), IS_ACTIVE(tinyint(1)), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3))","ID, IS_ACTIVE",config_master,YES
dashboard_config,"Schema-based summary for 'dashboard config'. Key fields: ID, KEY_NAME, KEY_VALUE, KEY_DATA_TYPE, KEY_REQUIRED_WHEN, KEY_DESCRIPTION.","ID(int), KEY_NAME(varchar(100)), KEY_VALUE(longtext), KEY_DATA_TYPE(enum('INT','DATETIME','BOOLEAN','STRING','JSON')), KEY_REQUIRED_WHEN(enum('BEFORE_LOGIN','AFTER_LOGIN')), KEY_DESCRIPTION(text), IS_ACTIVE(tinyint), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(50)), UPDATED_TIMESTAMP(datetime(3))",ID,config_master,YES
dashboard_error_logs,"Schema-based summary for 'dashboard error logs'. Key fields: ID, SOURCE_APPLICATION, CLASS_METHOD_NAME, ERROR_CODE, ERROR_MESSAGE, ERROR_STACKTRACE.","ID(int), SOURCE_APPLICATION(varchar(50)), CLASS_METHOD_NAME(text), ERROR_CODE(int), ERROR_MESSAGE(text), ERROR_STACKTRACE(text), ERROR_DESCRIPTION(text), ERROR_TIMESTAMP(datetime), ENDPOINT(varchar(225))",ID,log_table,YES
dashboard_grid_points_master,"Master/configuration table (relatively static reference data). Key fields: ID, TYPE, ABBREVIATION, BG_COLOR, IS_ACTIVE.","ID(int), TYPE(varchar(255)), ABBREVIATION(varchar(3)), BG_COLOR(varchar(7)), IS_ACTIVE(int)",ID,config_master,YES
dashboard_group_master,"Schema-based summary for 'dashboard group master'. Key fields: GROUP_ID, GROUP_NAME, REDIRECT_URL, IS_ACTIVE, INSERTED_BY, INSERTED_ON.","GROUP_ID(int), GROUP_NAME(varchar(45)), REDIRECT_URL(int), IS_ACTIVE(tinyint), INSERTED_BY(varchar(45)), INSERTED_ON(datetime), UPDATED_BY(varchar(45)), UPDATED_ON(datetime)",GROUP_ID,config_master,YES
dashboard_language_translate_master,"Master/configuration table (relatively static reference data). Key fields: ID, ENGLISH, HINDI, IS_ACTIVE, INSERTED_BY, INSERTED_TIMESTAMP.","ID(int), ENGLISH(varchar(255)), HINDI(varchar(255)), IS_ACTIVE(tinyint), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3))",ID,config_master,YES
dashboard_log_bot_charging,"Robot/bot related operational table. Key fields: ID, BOT_ID, BATTERY_AT_CHARGING_BIT_1, TIMESTAMP_AT_CHARGING_BIT_1, BATTERY_AT_STATION, TIMESTAMP_AT_STATION.","ID(bigint), BOT_ID(varchar(100)), BATTERY_AT_CHARGING_BIT_1(int), TIMESTAMP_AT_CHARGING_BIT_1(datetime), BATTERY_AT_STATION(int), TIMESTAMP_AT_STATION(datetime(3)), BATTERY_AFTER_STATION(int), TIMESTAMP_AFTER_STATION(datetime(3)), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(100)), UPDATED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(100))",ID,log_table,YES
dashboard_log_error_api,"Schema-based summary for 'dashboard log error api'. Key fields: ID, CONTROLLER_NAME, METHOD_NAME, REQUEST_TYPE, IP_ADDRESS, ERROR_CODE.","ID(bigint), CONTROLLER_NAME(varchar(255)), METHOD_NAME(varchar(255)), REQUEST_TYPE(enum('GET','POST','PUT','PATCH','DELETE')), IP_ADDRESS(varchar(100)), ERROR_CODE(int), ERROR_MESSAGE(text), ERROR_STACKTRACE(text), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(100))",ID,log_table,YES
dashboard_log_location_block_master,"Master/configuration table (relatively static reference data). Key fields: ID, LOCATION_ID, TYPE, AISLE_ID, TOWER_ID, BLOCK_STATUS.","ID(bigint), LOCATION_ID(bigint), TYPE(varchar(100)), AISLE_ID(int), TOWER_ID(int), BLOCK_STATUS(varchar(100)), UPDATED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(45))",ID,log_table,YES
dashboard_log_maintenance_task_master,"Master/configuration table (relatively static reference data). Key fields: MAINTENANCE_TASK_ID, MAINTENANCE_ID, MAINTENANCE_POINT_BOT_ID, MAINTENANCE_PICK_POINT_BOT_ID, BIN_BARCODE_SCANNED, MAINTENANCE_POINT_BARCODE_SCANNED.","MAINTENANCE_TASK_ID(bigint), MAINTENANCE_ID(int), MAINTENANCE_POINT_BOT_ID(varchar(100)), MAINTENANCE_PICK_POINT_BOT_ID(varchar(100)), BIN_BARCODE_SCANNED(varchar(50)), MAINTENANCE_POINT_BARCODE_SCANNED(tinyint(1)), IS_MP_BOT_HEALTHY(tinyint(1)), TASK_DONE(tinyint(1)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_TIMESTAMP(datetime(3)), LOGGED_TIMESTAMP(datetime(3))",MAINTENANCE_TASK_ID,log_table,YES
dashboard_log_manual_task_master,"Master/configuration table (relatively static reference data). Key fields: ID, BOT_ID, START_LOCATION_ID, END_LOCATION_ID, START_PICK_PUT_SIDE, END_PICK_PUT_SIDE.","ID(bigint), BOT_ID(varchar(100)), START_LOCATION_ID(bigint), END_LOCATION_ID(bigint), START_PICK_PUT_SIDE(varchar(100)), END_PICK_PUT_SIDE(varchar(100)), STATUS(varchar(100)), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(255))",ID,log_table,YES
dashboard_log_user_login_attempts,"Schema-based summary for 'dashboard log user login attempts'. Key fields: ID, USER_ID, ROLE_ID, IP_ADDRESS, DEVICE_INFO, STATUS.","ID(int), USER_ID(int), ROLE_ID(int), IP_ADDRESS(varchar(45)), DEVICE_INFO(varchar(255)), STATUS(enum('SUCCEED','FAILED','CANCELLED')), INSERTED_TIMESTAMP(datetime(3))",ID,log_table,YES
dashboard_log_wave_process,"Wave-related table for batching and executing operations. Key fields: ID, WAVE_ID, WAVE_TYPE, WAVE_STATUS, CREATED_BY, CREATED_TIMESTAMP.","ID(bigint), WAVE_ID(varchar(200)), WAVE_TYPE(varchar(100)), WAVE_STATUS(varchar(50)), CREATED_BY(varchar(50)), CREATED_TIMESTAMP(datetime(3)), STATION_ID(int), RUN_BY(varchar(50)), RUN_TIMESTAMP(datetime(3)), COMPLETED_BY(varchar(50)), COMPLETED_TIMESTAMP(datetime(3)), CANCELLED_BY(varchar(50)), CANCELLED_TIMESTAMP(datetime(3)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_TIMESTAMP(datetime(3))",ID,log_table,YES
dashboard_login_attempts_log,"Schema-based summary for 'dashboard login attempts log'. Key fields: ID, USER_NAME, LOGIN_IP, DEVICE_INFO, STATUS, INSERTION_TIMESTAMP.","ID(int), USER_NAME(varchar(45)), LOGIN_IP(varchar(100)), DEVICE_INFO(varchar(300)), STATUS(varchar(100)), INSERTION_TIMESTAMP(datetime)",ID,log_table,YES
dashboard_logs,"Schema-based summary for 'dashboard logs'. Key fields: ID, FUNCTION_NAME, TABLE_NAME, FIELD_OLD_VALUE, FIELD_NEW_VALUE, INSERTED_BY.","ID(int), FUNCTION_NAME(varchar(50)), TABLE_NAME(varchar(50)), FIELD_OLD_VALUE(varchar(100)), FIELD_NEW_VALUE(varchar(100)), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(timestamp)",ID,log_table,YES
dashboard_manual_task_master,"Master/configuration table (relatively static reference data). Key fields: ID, BOT_ID, START_LOCATION_ID, END_LOCATION_ID, START_PICK_PUT_SIDE, END_PICK_PUT_SIDE.","ID(int), BOT_ID(varchar(100)), START_LOCATION_ID(bigint), END_LOCATION_ID(bigint), START_PICK_PUT_SIDE(varchar(50)), END_PICK_PUT_SIDE(enum('NONE','PICK','PUT','STATION_PICK','STATION_PUT')), STATUS(enum('WAITING','SUCCESS','FAILED')), INSERTED_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(255)), UPDATED_TIMESTAMP(datetime(3))",ID,config_master,YES
dashboard_master_data,"Schema-based summary for 'dashboard master data'. Key fields: ID, HEADER, DROPDOWN_TEXT, DROPDOWN_VALUE, IS_ACTIVE, INSERTED_BY.","ID(int), HEADER(varchar(500)), DROPDOWN_TEXT(varchar(500)), DROPDOWN_VALUE(varchar(500)), IS_ACTIVE(tinyint), INSERTED_BY(varchar(50)), INSERTED_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(50)), UPDATED_TIMESTAMP(datetime(3))",ID,config_master,YES
